,Title,Price,Kilometers Driven,Fuel Type,Location,Year,Make,Model,Variant,Car Age,Trim Level,Power Indicator
1105,2020 Hyundai Aura SX 1.2 (O) Petrol,653082.0,45398.0,Petrol,Beerappagadda,2020,Hyundai,Aura,SX 1.2 (O) Petrol,4,Base,Standard
1106,2020 Volkswagen Tiguan AllSpace 2.0 TSI,2617000.0,37994.0,Petrol,Jntu Kukat Pally,2020,Volkswagen,Tiguan,AllSpace 2.0 TSI,4,Base,Standard
1107,2018 Hyundai Eon Era +,298000.0,67458.0,Petrol,Jubilee Hills,2018,Hyundai,Eon,Era +,6,Base,Standard
1108,2017 Hyundai Creta 1.6 SX Plus AT,965000.0,79868.0,Diesel,Beerappagadda,2017,Hyundai,Creta,1.6 SX Plus AT,7,Base,Standard
1109,2011 Ford Figo Duratec Petrol ZXI 1.2,232000.0,54751.0,Petrol,Bellavista,2011,Ford,Figo,Duratec Petrol ZXI 1.2,13,Base,Standard
1110,2017 Honda City 4th Generation ZX CVT Petrol [2017-2019],729000.0,113898.0,Petrol,Jubilee Hills,2017,Honda,City,4th Generation ZX CVT Petrol,7,Base,Standard
1111,2022 Maruti Suzuki Wagon R ZXi 1.2,557000.0,41856.0,Petrol,Jubilee Hills,2022,Maruti,Suzuki,Wagon R ZXi 1.2,2,Base,Standard
1112,2014 Hyundai Santro Xing GLS,325000.0,26083.0,Petrol,Beerappagadda,2014,Hyundai,Santro,Xing GLS,10,Base,Standard
1113,2016 Maruti Suzuki Baleno Alpha 1.2,626000.0,20106.0,Petrol,Bellavista,2016,Maruti,Suzuki,Baleno Alpha 1.2,8,Base,Standard
1114,2016 Maruti Suzuki Baleno Alpha 1.2,627000.0,17099.0,Petrol,Jubilee Hills,2016,Maruti,Suzuki,Baleno Alpha 1.2,8,Base,Standard
1115,2016 Maruti Suzuki Baleno Alpha 1.2,554000.0,94642.0,Petrol,Bellavista,2016,Maruti,Suzuki,Baleno Alpha 1.2,8,Base,Standard
1116,2017 Maruti Suzuki Wagon R 1.0 VXI ABS,425000.0,39428.0,Petrol,Jubilee Hills,2017,Maruti,Suzuki,Wagon R 1.0 VXI ABS,7,Base,Standard
1117,2022 Maruti Suzuki S-Presso VXi Plus,510064.0,14795.0,Petrol,Beerappagadda,2022,Maruti,Suzuki,S-Presso VXi Plus,2,Base,Standard
1118,2013 Maruti Suzuki Wagon R 1.0 Vxi ABS-Airbag,295000.0,101962.0,Petrol,Jubilee Hills,2013,Maruti,Suzuki,Wagon R 1.0 Vxi ABS-Airbag,11,Base,Standard
1119,2017 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],505000.0,41293.0,Petrol,Bellavista,2017,Hyundai,Grand,i10 Sportz 1.2 Kappa VTVT,7,Sport,Standard
1120,2014 Honda City VX,517000.0,113818.0,Petrol,Jubilee Hills,2014,Honda,City,VX,10,Base,Standard
1121,2013 Maruti Suzuki Alto 800 Lxi,229000.0,67994.0,Petrol,Beerappagadda,2013,Maruti,Suzuki,Alto 800 Lxi,11,Base,Standard
1122,2022 Renault Kiger RXT (O) AMT,709000.0,20589.0,Petrol,Jubilee Hills,2022,Renault,Kiger,RXT (O) AMT,2,Base,Standard
1123,2019 Mahindra XUV300 W8 1.5 Diesel [2020],929000.0,58631.0,Diesel,Jntu Kukat Pally,2019,Mahindra,XUV300,W8 1.5 Diesel [2020],5,Base,Standard
1124,2022 Skoda Slavia Style 1.0L TSI MT,1312874.0,25545.0,Petrol,Jntu Kukat Pally,2022,Skoda,Slavia,Style 1.0L TSI MT,2,Base,Standard
1125,2020 Maruti Suzuki Swift ZXi,588000.0,98463.0,Petrol,Bellavista,2020,Maruti,Suzuki,Swift ZXi,4,Base,Standard
1126,2017 Maruti Suzuki Ciaz Zeta 1.4 AT,629000.0,85976.0,Petrol,Beerappagadda,2017,Maruti,Suzuki,Ciaz Zeta 1.4 AT,7,Base,Standard
1127,2015 Hyundai Grand i10 Asta 1.2 Kappa VTVT [2013-2016],449000.0,45161.0,Petrol,Jubilee Hills,2015,Hyundai,Grand,i10 Asta 1.2 Kappa VTVT,9,Base,Standard
1128,2014 Maruti Suzuki Swift DZire VXI,449000.0,50382.0,Petrol,Bellavista,2014,Maruti,Suzuki,Swift DZire VXI,10,Base,Standard
1129,2022 Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,649000.0,38881.0,Petrol,Jubilee Hills,2022,Hyundai,Grand,i10 Nios Sportz 1.2 Kappa VTVT,2,Sport,Standard
